Drug_Name,Vina_Score_kcal_mol,Output_File
ethinylestradiol,-8.031,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\ethinylestradiol_docked.pdbqt
metesculetol,-8.031,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\metesculetol_docked.pdbqt
teriflunomide,-8.031,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\teriflunomide_docked.pdbqt
medibazine,-8.03,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\medibazine_docked.pdbqt
flufenamic_acid,-8.029,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\flufenamic_acid_docked.pdbqt
chlortalidone,-8.029,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\chlortalidone_docked.pdbqt
phenazocine,-8.027,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenazocine_docked.pdbqt
clinafloxacin,-8.018,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\clinafloxacin_docked.pdbqt
protokylol,-8.011,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\protokylol_docked.pdbqt
exatecan,-8.01,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\exatecan_docked.pdbqt
vildagliptin,-8.008,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\vildagliptin_docked.pdbqt
dacomitinib,-8.004,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dacomitinib_docked.pdbqt
masoprocol,-8.003,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\masoprocol_docked.pdbqt
sorivudine,-8.002,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sorivudine_docked.pdbqt
phthalylsulfathiazole,-8.002,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phthalylsulfathiazole_docked.pdbqt
cefprozil,-7.996,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cefprozil_docked.pdbqt
medroxalol,-7.994,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\medroxalol_docked.pdbqt
lenalidomide,-7.989,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\lenalidomide_docked.pdbqt
sultosilic_acid,-7.987,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sultosilic_acid_docked.pdbqt
benznidazole,-7.986,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\benznidazole_docked.pdbqt
loxapine,-7.985,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\loxapine_docked.pdbqt
quercetin,-7.981,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\quercetin_docked.pdbqt
beraprost,-7.979,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\beraprost_docked.pdbqt
enoxolone,-7.972,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\enoxolone_docked.pdbqt
trifluridine,-7.97,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\trifluridine_docked.pdbqt
dimefline,-7.968,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\dimefline_docked.pdbqt
mitiglinide,-7.965,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\mitiglinide_docked.pdbqt
cyproterone_acetate,-7.965,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\cyproterone_acetate_docked.pdbqt
tolrestat,-7.965,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\tolrestat_docked.pdbqt
nicocodine,-7.961,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\nicocodine_docked.pdbqt
potassium_canrenoate,-7.961,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\potassium_canrenoate_docked.pdbqt
phenolsulfonphthalein,-7.956,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\phenolsulfonphthalein_docked.pdbqt
oxametacin,-7.954,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\oxametacin_docked.pdbqt
paramethasone_acetate,-7.954,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\paramethasone_acetate_docked.pdbqt
duvelisib,-7.952,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\duvelisib_docked.pdbqt
picotamide,-7.945,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\picotamide_docked.pdbqt
siponimod,-7.945,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\siponimod_docked.pdbqt
sacubitril,-7.94,C:\Users\kunsh_ghp5duq\OneDrive\Desktop\SIH\3\docking_results\sacubitril_docked.pdbqt
